x,y,z,gene
913,1259,160,bc2
916,1210,160,bc2
917,1285,160,bc2
919,1224,160,bc2
923,1283,160,bc2
927,1227,160,bc2
926,1250,160,bc2
926,1276,160,bc2
928,1261,160,bc2
929,1198,160,bc2
930,1204,160,bc2
932,1244,160,bc2
932,1273,160,bc2
932,1287,160,bc2
933,1214,160,bc2
934,1234,160,bc2
937,1209,160,bc2
937,1206,160,bc2
938,1241,160,bc2
938,1262,160,bc2
939,1257,160,bc2
940,1243,160,bc2
942,1282,160,bc2
943,1261,160,bc2
944,1287,160,bc2
945,1231,160,bc2
947,1210,160,bc2
954,1274,160,bc2
954,1214,160,bc2
959,1230,160,bc2
960,1286,160,bc2
960,1211,160,bc2
962,1258,160,bc2
964,1217,160,bc2
965,1253,160,bc2
965,1277,160,bc2
977,1256,160,bc2
890,1229,161,bc2
889,1251,161,bc2
892,1242,161,bc2
898,1248,161,bc2
900,1264,161,bc2
902,1217,161,bc2
906,1237,161,bc2
907,1267,161,bc2
907,1278,161,bc2
911,1270,161,bc2
911,1203,161,bc2
915,1282,161,bc2
916,1276,161,bc2
921,1217,161,bc2
921,1244,161,bc2
924,1269,161,bc2
925,1258,161,bc2
927,1282,161,bc2
930,1277,161,bc2
931,1238,161,bc2
933,1257,161,bc2
933,1281,161,bc2
934,1285,161,bc2
937,1243,161,bc2
937,1225,161,bc2
939,1270,161,bc2
943,1207,161,bc2
943,1269,161,bc2
948,1251,162,bc2
948,1271,161,bc2
949,1236,161,bc2
949,1276,161,bc2
950,1218,161,bc2
953,1208,161,bc2
959,1268,161,bc2
962,1223,161,bc2
964,1246,161,bc2
964,1270,161,bc2
969,1241,161,bc2
890,1265,162,bc2
897,1240,162,bc2
897,1251,162,bc2
900,1280,162,bc2
905,1272,162,bc2
910,1231,162,bc2
911,1210,162,bc2
911,1257,162,bc2
912,1260,162,bc2
913,1267,162,bc2
915,1234,162,bc2
914,1276,162,bc2
918,1263,162,bc2
919,1290,162,bc2
